=====================================================================
Aufgabe: Aufgabe 1
System start time:  12:47:06
System start date:  15-05-2026
Datum: 15-05-2026
Uhrzeit Aufgaben Abschlus: 12:55:41
Benoetigte Zeit: 464.7686s
Start der Aufgabe nach System Start: 11392.86s
---------------------------------------------------------------------
Heatmap Reloads: 2
Reload Button Zeitpunkte:
Reload Button Press Number0: Triggerd(TimeSinceStartUP): 11471.76s | TimeSinceTaskStart: 78.89941s
Reload Button Press Number1: Triggerd(TimeSinceStartUP): 11473.72s | TimeSinceTaskStart: 80.85938s
---------------------------------------------------------------------
Kamera zurueck zaehler: 0
Camera Back Button Zeitpunkte:
---------------------------------------------------------------------
Winkel aenderungs Zeitpunkte: 
TimeSinceStartUP: 11438.74s | TimeSinceTaskStart: 45.87891s | Winkel: 39°
TimeSinceStartUP: 11438.85s | TimeSinceTaskStart: 45.98828s | Winkel: 42°
TimeSinceStartUP: 11438.96s | TimeSinceTaskStart: 46.09961s | Winkel: 45°
TimeSinceStartUP: 11439.09s | TimeSinceTaskStart: 46.22559s | Winkel: 48°
TimeSinceStartUP: 11439.28s | TimeSinceTaskStart: 46.41797s | Winkel: 49°
TimeSinceStartUP: 11512.58s | TimeSinceTaskStart: 119.7178s | Winkel: 51°
TimeSinceStartUP: 11512.7s | TimeSinceTaskStart: 119.8359s | Winkel: 50°
TimeSinceStartUP: 11512.81s | TimeSinceTaskStart: 119.9492s | Winkel: 33°
TimeSinceStartUP: 11512.92s | TimeSinceTaskStart: 120.0605s | Winkel: 17°
TimeSinceStartUP: 11513.04s | TimeSinceTaskStart: 120.1709s | Winkel: 16°
TimeSinceStartUP: 11513.15s | TimeSinceTaskStart: 120.2822s | Winkel: 15°
TimeSinceStartUP: 11513.26s | TimeSinceTaskStart: 120.3926s | Winkel: 13°
TimeSinceStartUP: 11513.37s | TimeSinceTaskStart: 120.5059s | Winkel: 11°
TimeSinceStartUP: 11513.48s | TimeSinceTaskStart: 120.6162s | Winkel: 10°
TimeSinceStartUP: 11513.59s | TimeSinceTaskStart: 120.7285s | Winkel: 9°
TimeSinceStartUP: 11514.23s | TimeSinceTaskStart: 121.3672s | Winkel: 8°
TimeSinceStartUP: 11514.37s | TimeSinceTaskStart: 121.501s | Winkel: 5°
TimeSinceStartUP: 11514.5s | TimeSinceTaskStart: 121.6348s | Winkel: 4°
TimeSinceStartUP: 11514.68s | TimeSinceTaskStart: 121.8174s | Winkel: 6°
TimeSinceStartUP: 11514.79s | TimeSinceTaskStart: 121.9287s | Winkel: 7°
TimeSinceStartUP: 11514.9s | TimeSinceTaskStart: 122.0391s | Winkel: 20°
TimeSinceStartUP: 11515.01s | TimeSinceTaskStart: 122.1504s | Winkel: 43°
TimeSinceStartUP: 11515.13s | TimeSinceTaskStart: 122.2607s | Winkel: 55°
TimeSinceStartUP: 11515.24s | TimeSinceTaskStart: 122.3721s | Winkel: 58°
TimeSinceStartUP: 11515.35s | TimeSinceTaskStart: 122.4814s | Winkel: 61°
TimeSinceStartUP: 11515.46s | TimeSinceTaskStart: 122.5908s | Winkel: 64°
TimeSinceStartUP: 11515.57s | TimeSinceTaskStart: 122.7012s | Winkel: 71°
TimeSinceStartUP: 11515.68s | TimeSinceTaskStart: 122.8135s | Winkel: 74°
TimeSinceStartUP: 11515.79s | TimeSinceTaskStart: 122.9238s | Winkel: 76°
TimeSinceStartUP: 11515.9s | TimeSinceTaskStart: 123.0342s | Winkel: 77°
TimeSinceStartUP: 11516.01s | TimeSinceTaskStart: 123.1445s | Winkel: 79°
TimeSinceStartUP: 11516.12s | TimeSinceTaskStart: 123.2549s | Winkel: 80°
TimeSinceStartUP: 11516.27s | TimeSinceTaskStart: 123.4014s | Winkel: 81°
TimeSinceStartUP: 11516.85s | TimeSinceTaskStart: 123.9844s | Winkel: 80°
TimeSinceStartUP: 11517s | TimeSinceTaskStart: 124.1338s | Winkel: 79°
TimeSinceStartUP: 11517.12s | TimeSinceTaskStart: 124.251s | Winkel: 78°
TimeSinceStartUP: 11517.32s | TimeSinceTaskStart: 124.4521s | Winkel: 75°
TimeSinceStartUP: 11517.43s | TimeSinceTaskStart: 124.5635s | Winkel: 74°
TimeSinceStartUP: 11517.54s | TimeSinceTaskStart: 124.6738s | Winkel: 73°
TimeSinceStartUP: 11517.55s | TimeSinceTaskStart: 124.6846s | Winkel: 71°
TimeSinceStartUP: 11517.66s | TimeSinceTaskStart: 124.7949s | Winkel: 70°
TimeSinceStartUP: 11517.77s | TimeSinceTaskStart: 124.9053s | Winkel: 69°
TimeSinceStartUP: 11517.88s | TimeSinceTaskStart: 125.0176s | Winkel: 67°
TimeSinceStartUP: 11518.13s | TimeSinceTaskStart: 125.2676s | Winkel: 66°
TimeSinceStartUP: 11518.27s | TimeSinceTaskStart: 125.4014s | Winkel: 65°
TimeSinceStartUP: 11518.38s | TimeSinceTaskStart: 125.5195s | Winkel: 63°
TimeSinceStartUP: 11518.54s | TimeSinceTaskStart: 125.6709s | Winkel: 61°
TimeSinceStartUP: 11518.67s | TimeSinceTaskStart: 125.8008s | Winkel: 58°
TimeSinceStartUP: 11518.8s | TimeSinceTaskStart: 125.9346s | Winkel: 56°
TimeSinceStartUP: 11518.91s | TimeSinceTaskStart: 126.0459s | Winkel: 55°
TimeSinceStartUP: 11519.02s | TimeSinceTaskStart: 126.1563s | Winkel: 53°
TimeSinceStartUP: 11519.13s | TimeSinceTaskStart: 126.2686s | Winkel: 50°
TimeSinceStartUP: 11519.26s | TimeSinceTaskStart: 126.3926s | Winkel: 47°
TimeSinceStartUP: 11519.45s | TimeSinceTaskStart: 126.584s | Winkel: 43°
TimeSinceStartUP: 11519.56s | TimeSinceTaskStart: 126.6963s | Winkel: 37°
TimeSinceStartUP: 11519.67s | TimeSinceTaskStart: 126.8076s | Winkel: 33°
TimeSinceStartUP: 11519.78s | TimeSinceTaskStart: 126.9189s | Winkel: 30°
TimeSinceStartUP: 11519.91s | TimeSinceTaskStart: 127.043s | Winkel: 27°
TimeSinceStartUP: 11520.02s | TimeSinceTaskStart: 127.1553s | Winkel: 24°
TimeSinceStartUP: 11520.13s | TimeSinceTaskStart: 127.2646s | Winkel: 22°
TimeSinceStartUP: 11520.25s | TimeSinceTaskStart: 127.3838s | Winkel: 21°
TimeSinceStartUP: 11520.36s | TimeSinceTaskStart: 127.4941s | Winkel: 19°
TimeSinceStartUP: 11520.47s | TimeSinceTaskStart: 127.6055s | Winkel: 17°
TimeSinceStartUP: 11520.58s | TimeSinceTaskStart: 127.7158s | Winkel: 16°
TimeSinceStartUP: 11520.69s | TimeSinceTaskStart: 127.8271s | Winkel: 15°
TimeSinceStartUP: 11520.91s | TimeSinceTaskStart: 128.0498s | Winkel: 14°
TimeSinceStartUP: 11521.37s | TimeSinceTaskStart: 128.502s | Winkel: 15°
TimeSinceStartUP: 11521.38s | TimeSinceTaskStart: 128.5176s | Winkel: 14°
TimeSinceStartUP: 11521.68s | TimeSinceTaskStart: 128.8184s | Winkel: 13°
TimeSinceStartUP: 11521.83s | TimeSinceTaskStart: 128.9678s | Winkel: 12°
TimeSinceStartUP: 11521.95s | TimeSinceTaskStart: 129.084s | Winkel: 11°
TimeSinceStartUP: 11522.07s | TimeSinceTaskStart: 129.2012s | Winkel: 14°
TimeSinceStartUP: 11522.18s | TimeSinceTaskStart: 129.3174s | Winkel: 26°
TimeSinceStartUP: 11522.3s | TimeSinceTaskStart: 129.4346s | Winkel: 30°
TimeSinceStartUP: 11522.42s | TimeSinceTaskStart: 129.5508s | Winkel: 33°
TimeSinceStartUP: 11522.61s | TimeSinceTaskStart: 129.7432s | Winkel: 34°
TimeSinceStartUP: 11522.73s | TimeSinceTaskStart: 129.8633s | Winkel: 38°
TimeSinceStartUP: 11522.84s | TimeSinceTaskStart: 129.9736s | Winkel: 41°
TimeSinceStartUP: 11522.95s | TimeSinceTaskStart: 130.0869s | Winkel: 44°
TimeSinceStartUP: 11523.06s | TimeSinceTaskStart: 130.1973s | Winkel: 47°
TimeSinceStartUP: 11523.17s | TimeSinceTaskStart: 130.3086s | Winkel: 48°
TimeSinceStartUP: 11523.3s | TimeSinceTaskStart: 130.4355s | Winkel: 47°
TimeSinceStartUP: 11523.56s | TimeSinceTaskStart: 130.7002s | Winkel: 46°
TimeSinceStartUP: 11523.82s | TimeSinceTaskStart: 130.9512s | Winkel: 45°
TimeSinceStartUP: 11523.92s | TimeSinceTaskStart: 131.0605s | Winkel: 44°
TimeSinceStartUP: 11524.04s | TimeSinceTaskStart: 131.1719s | Winkel: 43°
TimeSinceStartUP: 11524.05s | TimeSinceTaskStart: 131.1846s | Winkel: 40°
TimeSinceStartUP: 11524.18s | TimeSinceTaskStart: 131.3174s | Winkel: 38°
TimeSinceStartUP: 11524.32s | TimeSinceTaskStart: 131.4512s | Winkel: 36°
TimeSinceStartUP: 11524.42s | TimeSinceTaskStart: 131.5605s | Winkel: 35°
TimeSinceStartUP: 11524.54s | TimeSinceTaskStart: 131.6719s | Winkel: 34°
TimeSinceStartUP: 11524.65s | TimeSinceTaskStart: 131.7813s | Winkel: 33°
TimeSinceStartUP: 11524.76s | TimeSinceTaskStart: 131.8936s | Winkel: 32°
TimeSinceStartUP: 11524.87s | TimeSinceTaskStart: 132.0029s | Winkel: 30°
TimeSinceStartUP: 11524.98s | TimeSinceTaskStart: 132.1143s | Winkel: 28°
TimeSinceStartUP: 11525.09s | TimeSinceTaskStart: 132.2275s | Winkel: 26°
TimeSinceStartUP: 11525.21s | TimeSinceTaskStart: 132.3408s | Winkel: 24°
TimeSinceStartUP: 11525.32s | TimeSinceTaskStart: 132.4512s | Winkel: 21°
TimeSinceStartUP: 11525.43s | TimeSinceTaskStart: 132.5635s | Winkel: 17°
TimeSinceStartUP: 11525.54s | TimeSinceTaskStart: 132.6729s | Winkel: 14°
TimeSinceStartUP: 11525.65s | TimeSinceTaskStart: 132.7861s | Winkel: 13°
TimeSinceStartUP: 11525.76s | TimeSinceTaskStart: 132.8955s | Winkel: 12°
TimeSinceStartUP: 11525.87s | TimeSinceTaskStart: 133.0078s | Winkel: 11°
TimeSinceStartUP: 11526.02s | TimeSinceTaskStart: 133.1514s | Winkel: 10°
TimeSinceStartUP: 11526.17s | TimeSinceTaskStart: 133.3037s | Winkel: 9°
TimeSinceStartUP: 11526.8s | TimeSinceTaskStart: 133.9336s | Winkel: 10°
TimeSinceStartUP: 11527.04s | TimeSinceTaskStart: 134.1719s | Winkel: 11°
TimeSinceStartUP: 11527.15s | TimeSinceTaskStart: 134.2813s | Winkel: 12°
TimeSinceStartUP: 11527.26s | TimeSinceTaskStart: 134.3926s | Winkel: 13°
TimeSinceStartUP: 11527.37s | TimeSinceTaskStart: 134.502s | Winkel: 16°
TimeSinceStartUP: 11527.56s | TimeSinceTaskStart: 134.6914s | Winkel: 49°
TimeSinceStartUP: 11527.67s | TimeSinceTaskStart: 134.8037s | Winkel: 55°
TimeSinceStartUP: 11527.8s | TimeSinceTaskStart: 134.9355s | Winkel: 54°
TimeSinceStartUP: 11528.07s | TimeSinceTaskStart: 135.2012s | Winkel: 53°
TimeSinceStartUP: 11528.22s | TimeSinceTaskStart: 135.3516s | Winkel: 50°
TimeSinceStartUP: 11528.35s | TimeSinceTaskStart: 135.4844s | Winkel: 40°
TimeSinceStartUP: 11528.46s | TimeSinceTaskStart: 135.5947s | Winkel: 39°
TimeSinceStartUP: 11528.57s | TimeSinceTaskStart: 135.7041s | Winkel: 34°
TimeSinceStartUP: 11528.69s | TimeSinceTaskStart: 135.8291s | Winkel: 32°
TimeSinceStartUP: 11528.82s | TimeSinceTaskStart: 135.9551s | Winkel: 31°
TimeSinceStartUP: 11529.35s | TimeSinceTaskStart: 136.4844s | Winkel: 32°
TimeSinceStartUP: 11529.75s | TimeSinceTaskStart: 136.8848s | Winkel: 33°
TimeSinceStartUP: 11529.88s | TimeSinceTaskStart: 137.0176s | Winkel: 34°
TimeSinceStartUP: 11607.31s | TimeSinceTaskStart: 214.4502s | Winkel: 19°
TimeSinceStartUP: 11607.48s | TimeSinceTaskStart: 214.6182s | Winkel: 18°
TimeSinceStartUP: 11607.52s | TimeSinceTaskStart: 214.6514s | Winkel: 16°
TimeSinceStartUP: 11607.66s | TimeSinceTaskStart: 214.793s | Winkel: 15°
TimeSinceStartUP: 11607.78s | TimeSinceTaskStart: 214.9199s | Winkel: 9°
TimeSinceStartUP: 11607.9s | TimeSinceTaskStart: 215.0391s | Winkel: 6°
TimeSinceStartUP: 11608.01s | TimeSinceTaskStart: 215.1504s | Winkel: 4°
TimeSinceStartUP: 11608.13s | TimeSinceTaskStart: 215.2637s | Winkel: 2°
TimeSinceStartUP: 11608.24s | TimeSinceTaskStart: 215.374s | Winkel: 1°
TimeSinceStartUP: 11608.35s | TimeSinceTaskStart: 215.4854s | Winkel: 0°
TimeSinceStartUP: 11610.22s | TimeSinceTaskStart: 217.3516s | Winkel: 1°
TimeSinceStartUP: 11610.35s | TimeSinceTaskStart: 217.4844s | Winkel: 3°
TimeSinceStartUP: 11610.46s | TimeSinceTaskStart: 217.6006s | Winkel: 10°
TimeSinceStartUP: 11610.57s | TimeSinceTaskStart: 217.71s | Winkel: 11°
TimeSinceStartUP: 11610.69s | TimeSinceTaskStart: 217.8232s | Winkel: 14°
TimeSinceStartUP: 11610.8s | TimeSinceTaskStart: 217.9336s | Winkel: 16°
TimeSinceStartUP: 11611.08s | TimeSinceTaskStart: 218.2188s | Winkel: 17°
TimeSinceStartUP: 11611.12s | TimeSinceTaskStart: 218.251s | Winkel: 18°
TimeSinceStartUP: 11611.27s | TimeSinceTaskStart: 218.4014s | Winkel: 20°
TimeSinceStartUP: 11611.52s | TimeSinceTaskStart: 218.6514s | Winkel: 21°
TimeSinceStartUP: 11611.58s | TimeSinceTaskStart: 218.7178s | Winkel: 22°
TimeSinceStartUP: 11611.72s | TimeSinceTaskStart: 218.8516s | Winkel: 26°
TimeSinceStartUP: 11611.83s | TimeSinceTaskStart: 218.9639s | Winkel: 28°
TimeSinceStartUP: 11611.94s | TimeSinceTaskStart: 219.0742s | Winkel: 33°
TimeSinceStartUP: 11612.05s | TimeSinceTaskStart: 219.1875s | Winkel: 38°
TimeSinceStartUP: 11612.16s | TimeSinceTaskStart: 219.2979s | Winkel: 40°
TimeSinceStartUP: 11612.27s | TimeSinceTaskStart: 219.4092s | Winkel: 41°
TimeSinceStartUP: 11612.33s | TimeSinceTaskStart: 219.4658s | Winkel: 43°
TimeSinceStartUP: 11612.44s | TimeSinceTaskStart: 219.5771s | Winkel: 51°
TimeSinceStartUP: 11612.55s | TimeSinceTaskStart: 219.6875s | Winkel: 60°
TimeSinceStartUP: 11612.74s | TimeSinceTaskStart: 219.8799s | Winkel: 64°
TimeSinceStartUP: 11612.86s | TimeSinceTaskStart: 219.9932s | Winkel: 67°
TimeSinceStartUP: 11612.97s | TimeSinceTaskStart: 220.1035s | Winkel: 70°
TimeSinceStartUP: 11613.08s | TimeSinceTaskStart: 220.2168s | Winkel: 72°
TimeSinceStartUP: 11613.98s | TimeSinceTaskStart: 221.1191s | Winkel: 71°
TimeSinceStartUP: 11614.12s | TimeSinceTaskStart: 221.2529s | Winkel: 70°
TimeSinceStartUP: 11614.27s | TimeSinceTaskStart: 221.4014s | Winkel: 68°
TimeSinceStartUP: 11614.38s | TimeSinceTaskStart: 221.5176s | Winkel: 67°
TimeSinceStartUP: 11614.58s | TimeSinceTaskStart: 221.7178s | Winkel: 66°
TimeSinceStartUP: 11614.7s | TimeSinceTaskStart: 221.834s | Winkel: 65°
TimeSinceStartUP: 11615.67s | TimeSinceTaskStart: 222.8008s | Winkel: 64°
TimeSinceStartUP: 11615.8s | TimeSinceTaskStart: 222.9346s | Winkel: 63°
TimeSinceStartUP: 11615.93s | TimeSinceTaskStart: 223.0703s | Winkel: 61°
TimeSinceStartUP: 11616.07s | TimeSinceTaskStart: 223.2012s | Winkel: 60°
TimeSinceStartUP: 11616.2s | TimeSinceTaskStart: 223.335s | Winkel: 58°
TimeSinceStartUP: 11616.39s | TimeSinceTaskStart: 223.5293s | Winkel: 57°
TimeSinceStartUP: 11616.5s | TimeSinceTaskStart: 223.6406s | Winkel: 56°
TimeSinceStartUP: 11616.63s | TimeSinceTaskStart: 223.7676s | Winkel: 55°
TimeSinceStartUP: 11616.77s | TimeSinceTaskStart: 223.9014s | Winkel: 54°
TimeSinceStartUP: 11616.9s | TimeSinceTaskStart: 224.0342s | Winkel: 53°
TimeSinceStartUP: 11617.03s | TimeSinceTaskStart: 224.1699s | Winkel: 52°
TimeSinceStartUP: 11617.18s | TimeSinceTaskStart: 224.3174s | Winkel: 51°
TimeSinceStartUP: 11617.29s | TimeSinceTaskStart: 224.4277s | Winkel: 50°
TimeSinceStartUP: 11617.62s | TimeSinceTaskStart: 224.751s | Winkel: 49°
TimeSinceStartUP: 11617.77s | TimeSinceTaskStart: 224.9014s | Winkel: 48°
TimeSinceStartUP: 11617.88s | TimeSinceTaskStart: 225.0127s | Winkel: 47°
TimeSinceStartUP: 11617.99s | TimeSinceTaskStart: 225.126s | Winkel: 45°
TimeSinceStartUP: 11618.1s | TimeSinceTaskStart: 225.2363s | Winkel: 42°
TimeSinceStartUP: 11618.29s | TimeSinceTaskStart: 225.4258s | Winkel: 40°
TimeSinceStartUP: 11618.4s | TimeSinceTaskStart: 225.5391s | Winkel: 37°
TimeSinceStartUP: 11618.51s | TimeSinceTaskStart: 225.6494s | Winkel: 36°
TimeSinceStartUP: 11618.65s | TimeSinceTaskStart: 225.7852s | Winkel: 35°
TimeSinceStartUP: 11618.78s | TimeSinceTaskStart: 225.918s | Winkel: 33°
TimeSinceStartUP: 11618.89s | TimeSinceTaskStart: 226.0293s | Winkel: 32°
TimeSinceStartUP: 11619s | TimeSinceTaskStart: 226.1396s | Winkel: 30°
TimeSinceStartUP: 11619.12s | TimeSinceTaskStart: 226.251s | Winkel: 28°
